Task-ID,async / sync,intended load (ops/s),thread num,runtime,req size [B],Total Time (sec),Tput (ops/sec),Resp. Time (ms),50th p (ms),95th p (ms),99th p (ms),999th p (ms)
0,sync,4,4,PT1M,128,60.941,3.955,29.040,25.070,49.899,76.781,114.778
1,sync,5,4,PT1M,128,60.275,4.977,33.006,26.469,64.567,130.922,139.647
2,sync,10,4,PT1M,128,60.169,9.972,34.566,26.204,83.369,118.967,131.045
3,sync,20,4,PT1M,128,60.242,19.936,33.321,24.841,73.101,152.617,214.918
4,sync,50,10,PT1M,128,60.179,49.851,48.768,41.964,112.733,201.460,294.008
5,sync,100,20,PT1M,128,60.168,99.771,67.029,59.745,135.695,195.013,295.656
6,sync,200,30,PT1M,128,60.156,199.830,136.562,132.583,219.760,380.088,442.758
7,sync,300,45,PT1M,128,60.060,289.161,2948.128,2977.646,4381.160,4758.879,5052.574
8,sync,400,60,PT1M,128,60.152,399.804,769.965,699.479,1626.480,1767.110,1909.496
9,sync,450,70,PT1M,128,60.123,442.227,555.917,532.840,1241.943,1417.985,1536.176
10,sync,500,75,PT1M,128,60.079,490.105,1095.310,1065.939,2285.738,2538.004,2596.826
11,sync,550,85,PT1M,128,60.143,485.825,3010.551,2590.201,6851.599,7269.412,7394.298
12,sync,600,90,PT1M,128,60.184,554.682,2814.654,2857.735,4744.349,5174.524,5265.760
13,sync,650,100,PT1M,128,60.270,588.867,3003.989,2997.722,5601.001,5877.218,6089.168
14,sync,750,115,PT1M,128,60.313,690.531,2153.645,1909.994,4635.745,4934.212,5080.125
15,sync,1000,150,PT1M,128,60.154,926.173,3029.977,3221.753,4664.939,4901.422,5108.869
