Task-ID,async / sync,intended load (ops/s),thread num,runtime,req size [B],Total Time (sec),Tput (ops/sec),Resp. Time (ms),50th p (ms),95th p (ms),99th p (ms),999th p (ms)
0,sync,4,4,PT30S,128,30.930,3.912,44.012,34.408,78.259,84.134,136.538
1,sync,4,4,PT30S,128,30.731,3.905,37.420,32.453,73.448,89.815,94.186
2,sync,8,4,PT30S,128,30.173,7.954,37.477,31.010,73.095,122.850,147.323
3,sync,16,4,PT30S,128,30.222,15.916,32.419,29.259,49.663,108.934,174.872
4,sync,32,4,PT30S,128,30.038,31.826,51.972,42.074,112.438,188.646,283.593
5,sync,64,4,PT30S,128,30.076,63.639,135.688,102.871,350.558,428.810,491.018
6,sync,128,4,PT30S,128,30.055,96.290,4300.902,4280.383,7753.372,8151.491,8235.771
7,sync,256,4,PT30S,128,30.033,96.660,10625.234,10910.588,18120.695,18979.629,19708.672
0,sync,4,4,PT30S,128,30.929,3.912,39.661,30.786,72.870,84.161,98.776
1,sync,4,4,PT30S,128,30.750,3.902,27.705,23.706,51.636,65.511,69.621
2,sync,8,4,PT30S,128,30.137,7.964,33.022,26.468,71.733,103.368,131.490
3,sync,16,4,PT30S,128,30.200,15.993,39.363,31.524,89.146,116.637,141.135
4,sync,32,4,PT30S,128,30.041,31.956,35.162,27.161,82.133,181.577,229.037
5,sync,64,4,PT30S,128,30.057,63.912,51.978,40.807,140.733,224.283,282.255
6,sync,128,4,PT30S,128,30.052,112.305,2570.927,2668.560,3778.592,3837.410,3882.671
7,sync,256,4,PT30S,128,30.058,114.046,9308.001,9328.122,16826.123,17776.055,18111.393
0,sync,4,4,PT30S,128,30.729,3.905,34.719,27.193,69.615,78.642,88.010
1,sync,4,4,PT30S,128,30.796,3.897,30.230,23.752,66.547,120.279,135.830
2,sync,8,4,PT30S,128,30.323,7.915,29.746,23.816,68.360,80.154,108.600
3,sync,16,4,PT30S,128,30.157,15.884,46.674,32.948,116.798,142.630,151.665
4,sync,32,4,PT30S,128,30.076,31.919,42.277,29.990,103.910,214.400,301.774
5,sync,64,4,PT30S,128,29.995,64.011,65.437,44.656,226.850,398.196,439.596
6,sync,128,4,PT30S,128,30.063,123.108,1289.459,1319.607,1692.114,1805.486,1864.024
7,sync,256,4,PT30S,128,30.036,112.731,9536.473,9902.484,16292.827,16900.504,17239.787
