Task-ID,async / sync,intended load (ops/s),thread num,runtime,req size [B],Total Time (sec),Tput (ops/sec),Resp. Time (ms),50th p (ms),95th p (ms),99th p (ms),999th p (ms)
0,sync,30,1,PT30S,128,29.817,30.117,36.759,23.879,122.051,183.929,206.370
1,sync,1,1,PT30S,128,29.866,1.004,33.151,26.534,50.500,71.387,71.387
2,sync,5,1,PT30S,128,29.892,5.018,31.857,25.376,69.914,92.159,92.166
3,sync,10,1,PT30S,128,29.797,10.035,28.136,23.679,51.401,114.874,161.017
4,sync,15,1,PT30S,128,29.832,15.051,28.828,23.914,48.892,132.538,158.536
5,sync,20,1,PT30S,128,29.799,20.101,29.920,24.045,59.759,130.950,160.880
6,sync,25,1,PT30S,128,29.846,25.095,40.296,23.972,148.141,201.573,241.123
7,sync,30,1,PT30S,128,29.817,30.117,84.075,41.886,237.960,323.071,359.821
8,sync,35,1,PT30S,128,29.680,32.547,1424.560,1308.646,2084.353,2158.454,2253.379
9,sync,40,1,PT30S,128,29.770,32.146,3109.870,3180.005,5785.378,5914.619,5980.680
0,sync,30,1,PT30S,128,29.983,29.917,107.891,75.215,266.529,317.658,342.423
1,sync,1,1,PT30S,128,29.910,1.003,44.070,31.172,85.768,99.184,99.184
2,sync,5,1,PT30S,128,29.897,5.017,31.821,25.088,70.171,84.914,123.199
3,sync,10,1,PT30S,128,29.799,10.034,31.535,23.949,55.545,202.146,210.867
4,sync,15,1,PT30S,128,29.829,15.052,30.094,24.459,52.851,133.949,165.200
5,sync,20,1,PT30S,128,29.825,20.084,35.627,26.307,93.136,163.253,190.211
6,sync,25,1,PT30S,128,29.791,25.075,51.359,27.844,191.492,276.915,300.854
7,sync,30,1,PT30S,128,29.843,30.091,111.699,60.348,344.095,382.433,405.151
8,sync,35,1,PT30S,128,29.769,32.887,989.907,1015.661,1933.968,2004.346,2011.525
9,sync,40,1,PT30S,128,29.746,33.685,2616.906,2535.908,4334.318,4790.848,4820.216
0,sync,30,1,PT30S,128,29.732,30.170,58.124,31.522,196.517,227.796,253.947
1,sync,1,1,PT30S,128,29.917,1.003,33.883,27.066,61.305,65.094,65.094
2,sync,5,1,PT30S,128,29.895,5.018,26.604,21.020,63.534,91.016,122.184
3,sync,10,1,PT30S,128,29.797,10.035,37.195,21.967,87.399,426.043,559.087
4,sync,15,1,PT30S,128,29.826,15.054,24.707,21.060,39.656,121.480,158.982
5,sync,20,1,PT30S,128,29.794,20.071,29.504,23.247,75.957,137.970,158.611
6,sync,25,1,PT30S,128,29.763,25.098,29.499,21.930,89.356,142.943,176.381
7,sync,30,1,PT30S,128,29.776,30.159,56.863,27.477,210.001,290.188,323.547
8,sync,35,1,PT30S,128,29.840,35.121,119.811,66.940,393.208,501.365,522.600
9,sync,40,1,PT30S,128,29.722,35.933,1229.041,884.441,2431.903,3142.079,3200.664
