Task-ID,async / sync,intended load (ops/s),thread num,runtime,req size [B],Total Time (sec),Tput (ops/sec),Resp. Time (ms),50th p (ms),95th p (ms),99th p (ms),999th p (ms)
0,sync,100,1,PT30S,128,29.791,40.113,9108.254,9359.979,17057.148,17816.123,17974.299
1,sync,10000,1,PT30S,128,29.837,37.939,14760.526,14641.080,28303.627,29530.867,29789.068
2,sync,20000,1,PT30S,128,29.729,33.435,15191.412,15435.721,28490.961,29600.875,29827.682
3,sync,30000,1,PT30S,128,29.727,34.245,15184.405,15412.854,28146.693,29364.299,29765.803
4,sync,40000,1,PT30S,128,29.788,34.141,15154.553,15102.870,28513.809,29577.764,29794.051
5,sync,50000,1,PT30S,128,29.780,34.352,14894.926,14773.979,28407.738,29568.053,29814.348
6,sync,60000,1,PT30S,128,29.787,33.706,15095.469,15071.497,28515.746,29641.854,29875.592
7,sync,70000,1,PT30S,128,29.852,32.896,15176.164,15381.930,28348.770,29655.867,29909.387
0,sync,100,1,PT30S,128,29.744,34.831,9846.206,9865.516,18454.180,19263.002,19523.113
1,sync,10000,1,PT30S,128,29.986,30.814,15130.661,15282.861,28480.871,29544.938,29817.174
2,sync,20000,1,PT30S,128,29.753,32.400,15193.043,15016.027,28426.100,29543.215,29797.959
3,sync,30000,1,PT30S,128,29.670,32.693,14917.921,14622.869,28320.928,29554.650,29853.893
4,sync,40000,1,PT30S,128,29.714,29.885,15131.195,14980.493,28522.910,29574.867,29798.443
5,sync,50000,1,PT30S,128,29.770,31.945,14954.634,14914.234,28297.939,29600.447,29852.266
6,sync,60000,1,PT30S,128,29.827,29.973,14735.135,14848.389,28307.572,29679.572,29912.637
7,sync,70000,1,PT30S,128,29.805,29.894,15295.547,15360.506,28268.465,29567.074,29891.666
0,sync,100,1,PT30S,128,29.808,31.367,11065.149,11605.742,19752.289,20370.074,20541.547
1,sync,10000,1,PT30S,128,29.775,33.081,14792.207,14741.185,28276.018,29493.615,29762.104
2,sync,20000,1,PT30S,128,29.743,31.335,15077.528,14863.147,28278.340,29514.334,29780.307
3,sync,30000,1,PT30S,128,29.718,33.010,14902.768,14843.989,28214.057,29540.445,29786.559
4,sync,40000,1,PT30S,128,29.835,29.764,14612.579,14419.779,28420.957,29659.109,29902.367
5,sync,50000,1,PT30S,128,29.719,29.072,15164.280,15368.347,28531.012,29615.732,29840.566
6,sync,60000,1,PT30S,128,29.980,30.120,14977.129,15120.607,28421.203,29506.004,29797.340
7,sync,70000,1,PT30S,128,29.770,31.878,14893.014,14513.862,28270.791,29567.119,29884.324
