Task-ID,async / sync,intended load (ops/s),thread num,runtime,req size [B],Total Time (sec),Tput (ops/sec),Resp. Time (ms),50th p (ms),95th p (ms),99th p (ms),999th p (ms)
0,sync,1,1,PT30S,64,29.861,1.005,42.389,31.286,72.204,103.116,103.116
1,sync,1,1,PT30S,64,29.888,1.004,32.254,27.910,44.670,45.981,45.981
2,sync,2,1,PT30S,64,29.880,2.008,34.526,28.287,70.278,98.733,98.733
3,sync,4,1,PT30S,64,29.880,4.016,34.982,28.109,79.382,140.514,146.764
4,sync,8,1,PT30S,64,29.898,8.027,32.294,26.656,76.916,127.922,149.136
5,sync,16,1,PT30S,64,29.795,16.077,29.145,24.137,62.187,139.929,171.519
6,sync,32,1,PT30S,64,29.809,30.863,790.275,828.896,978.088,1230.503,1256.439
7,sync,64,1,PT30S,64,29.838,32.341,7576.661,7482.087,14068.849,14726.110,14853.762
0,sync,1,1,PT30S,64,29.912,1.003,42.470,33.588,69.286,79.487,79.487
1,sync,1,1,PT30S,64,29.885,1.004,33.076,26.678,72.376,77.237,77.237
2,sync,2,1,PT30S,64,29.906,2.006,31.621,25.871,68.308,133.115,133.115
3,sync,4,1,PT30S,64,29.925,4.010,29.483,24.450,63.766,68.964,73.474
4,sync,8,1,PT30S,64,29.902,8.026,27.430,24.334,52.847,84.247,99.405
5,sync,16,1,PT30S,64,29.828,16.059,27.108,24.288,42.141,107.668,145.141
6,sync,32,1,PT30S,64,29.845,32.099,188.061,128.349,518.624,560.089,572.632
7,sync,64,1,PT30S,64,29.834,32.178,7857.015,7964.820,14368.402,14805.803,14933.888
0,sync,1,1,PT30S,64,29.864,1.005,47.474,31.504,80.771,132.281,132.281
1,sync,1,1,PT30S,64,29.906,1.003,34.432,29.644,46.934,70.270,70.270
2,sync,2,1,PT30S,64,29.876,2.008,34.064,28.135,68.199,95.486,95.486
3,sync,4,1,PT30S,64,29.876,4.017,31.315,24.814,68.466,89.215,89.890
4,sync,8,1,PT30S,64,29.909,8.024,27.717,22.905,58.575,82.790,105.077
5,sync,16,1,PT30S,64,29.835,16.055,29.687,23.827,55.201,134.630,197.967
6,sync,32,1,PT30S,64,29.846,32.098,222.366,221.164,492.547,531.327,565.935
7,sync,64,1,PT30S,64,29.866,37.903,6413.508,6484.891,11747.023,12159.883,12253.635
