Task-ID,async / sync,intended load (ops/s),thread num,runtime,req size [B],Total Time (sec),Tput (ops/sec),Resp. Time (ms),50th p (ms),95th p (ms),99th p (ms),999th p (ms)
0,sync,1,1,PT30S,512,29.841,1.005,42.504,29.958,75.405,92.401,92.401
1,sync,1,1,PT30S,512,29.930,1.002,35.077,27.350,54.955,60.803,60.803
2,sync,2,1,PT30S,512,29.851,2.010,34.058,28.666,67.976,85.727,85.727
3,sync,4,1,PT30S,512,29.858,4.019,37.079,30.878,70.509,85.498,142.424
4,sync,8,1,PT30S,512,29.898,8.027,38.484,32.893,68.041,128.259,157.541
5,sync,16,1,PT30S,512,29.826,16.060,37.616,30.104,68.094,215.692,259.872
6,sync,32,1,PT30S,512,29.809,28.045,1709.979,1704.649,3803.954,3824.812,3840.009
7,sync,64,1,PT30S,512,29.757,28.296,8407.834,8447.873,16018.927,16575.953,16712.359
0,sync,1,1,PT30S,512,29.873,1.004,46.546,38.045,87.258,100.962,100.962
1,sync,1,1,PT30S,512,29.884,1.004,37.834,31.915,56.755,57.734,57.734
2,sync,2,1,PT30S,512,29.900,2.007,33.325,28.637,57.212,62.948,62.948
3,sync,4,1,PT30S,512,29.882,4.016,34.071,26.941,74.247,94.318,162.491
4,sync,8,1,PT30S,512,29.908,8.025,31.034,25.174,54.557,92.212,97.356
5,sync,16,1,PT30S,512,29.812,16.067,29.102,22.274,52.549,118.349,162.878
6,sync,32,1,PT30S,512,29.825,29.841,1133.945,1138.064,2064.195,2127.255,2160.663
7,sync,64,1,PT30S,512,29.819,30.081,7907.319,8121.058,15023.685,15663.785,15922.908
0,sync,1,1,PT30S,512,29.868,1.004,54.708,46.170,94.665,102.704,102.704
1,sync,1,1,PT30S,512,29.893,1.004,40.867,31.177,66.100,71.665,71.665
2,sync,2,1,PT30S,512,29.885,2.008,37.756,32.735,65.862,70.390,70.390
3,sync,4,1,PT30S,512,29.890,4.015,35.943,30.195,69.764,94.917,95.264
4,sync,8,1,PT30S,512,29.875,8.033,36.915,28.872,72.756,162.896,188.230
5,sync,16,1,PT30S,512,29.821,16.063,34.911,28.533,72.188,144.832,157.397
6,sync,32,1,PT30S,512,29.797,28.761,1838.789,1823.214,3092.675,3132.915,3137.593
7,sync,64,1,PT30S,512,29.792,28.699,8429.002,8579.122,15824.739,16426.332,16568.010
